Jahr,Kanton,Nationalitaet,durchschnittliche_Anzahl_Arbeitslose,Arbeitslosenquote,durchschnittliche_Anzahl_Jugendarbeitslose,Jugendarbeitslosenquote,durchschnittliche_Anzahl_Arbeitslose_alter_als_50_Jahre,Arbeitslosenquote_over_50
2016,Zuerich,Auslaender,13703,6,1153,6.6,2459,6.3
2016,Zuerich,Schweizer,16381,2.8,2558,3.4,4732,2.5
2016,Bern,Auslaender,5792,6.5,543,7,1199,6.9
2016,Bern,Schweizer,9491,2,1569,2.4,3026,1.9
2016,Luzern,Auslaender,1911,4.7,253,5.5,382,5.2
2016,Luzern,Schweizer,2691,1.5,504,1.9,814,1.4
2016,Uri,Auslaender,107,4.2,8,3.1,23,4
2016,Uri,Schweizer,95,0.6,19,0.7,33,0.7
2016,Schwyz,Auslaender,704,3.9,75,3.9,198,4.7
2016,Schwyz,Schweizer,833,1.2,103,1,342,1.5
2016,Obwalden,Auslaender,94,3,11,3.6,24,3.4
2016,Obwalden,Schweizer,119,0.7,21,0.8,42,0.7
2016,Nidwalden,Auslaender,101,3.1,10,5.1,21,2.7
2016,Nidwalden,Schweizer,177,0.8,25,0.8,79,1.2
2016,Glarus,Auslaender,263,4.9,34,4.1,66,5.9
2016,Glarus,Schweizer,268,1.6,49,1.9,94,1.6
2016,Zug,Auslaender,736,4,48,3.7,185,4.7
2016,Zug,Schweizer,867,1.8,104,1.7,301,1.8
2016,Freiburg,Auslaender,2179,5.8,230,5.1,411,6.7
2016,Freiburg,Schweizer,2465,1.9,385,2.3,739,1.9
2016,Solothurn,Auslaender,1864,5.9,241,5.8,392,6.1
2016,Solothurn,Schweizer,2450,2.1,407,2.6,836,2.1
2016,Basel-Stadt,Auslaender,2061,5.3,157,5.7,404,5.9
2016,Basel-Stadt,Schweizer,1771,2.9,257,4,478,2.2
2016,Basel-Landschaft,Auslaender,1808,5.4,164,5,381,5.5
2016,Basel-Landschaft,Schweizer,2637,2.3,354,2.7,877,2.1
2016,Schaffhausen,Auslaender,748,6.4,87,6.9,162,6.5
2016,Schaffhausen,Schweizer,690,2.2,130,2.8,216,1.8
2016,Appenzell Ausserrhoden,Auslaender,205,3.9,19,4.4,57,4.4
2016,Appenzell Ausserrhoden,Schweizer,353,1.4,56,1.4,142,1.5
2016,Appenzell Innerrhoden,Auslaender,45,3.9,6,8.2,14,5.1
2016,Appenzell Innerrhoden,Schweizer,54,0.7,11,0.7,18,0.8
2016,St. Gallen,Auslaender,3458,5.1,405,4.8,723,5.7
2016,St. Gallen,Schweizer,3517,1.7,660,1.9,1140,1.7
2016,Graubuenden,Auslaender,1044,4.6,74,4.2,227,4.9
2016,Graubuenden,Schweizer,841,1,149,1.2,294,0.9
2016,Aargau,Auslaender,5480,6.2,605,5.8,1109,6.5
2016,Aargau,Schweizer,6004,2.2,922,2.5,1988,2.1
2016,Thurgau,Auslaender,1861,4.9,226,5.2,422,5.1
2016,Thurgau,Schweizer,1933,1.7,373,2.1,626,1.6
2016,Tessin,Auslaender,2721,5.4,206,5.8,732,5.4
2016,Tessin,Schweizer,3156,2.7,593,4.9,951,2.5
2016,Waadt,Auslaender,9578,6.8,743,6.1,1888,6.7
2016,Waadt,Schweizer,9163,3.6,1232,3.8,2493,3
2016,Wallis,Auslaender,3590,8.2,355,7.3,816,9
2016,Wallis,Schweizer,3283,2.5,585,3.3,936,2.2
2016,Neuenburg,Auslaender,2423,9.1,234,8.3,451,9.5
2016,Neuenburg,Schweizer,2942,4.5,522,5.8,765,3.6
2016,Genf,Auslaender,6535,6.3,380,6,1175,5.2
2016,Genf,Schweizer,6431,4.9,687,5.1,1550,3.5
2016,Jura,Auslaender,597,10.6,75,14.4,114,9.3
2016,Jura,Schweizer,1099,3.5,216,4.6,347,3.4
