Kanton,Monat,Jan-16,Jan-16,Jan-16,Jan-16,Feb-16,Feb-16,Feb-16,Feb-16,Maerz 2016,Maerz 2016,Maerz 2016,Maerz 2016,Apr-16,Apr-16,Apr-16,Apr-16,Mai 2016,Mai 2016,Mai 2016,Mai 2016,Juni 2016,Juni 2016,Juni 2016,Juni 2016,Juli 2016,Juli 2016,Juli 2016,Juli 2016,Aug-16,Aug-16,Aug-16,Aug-16,Sep-16,Sep-16,Sep-16,Sep-16,Oktober 2016,Oktober 2016,Oktober 2016,Oktober 2016,Nov-16,Nov-16,Nov-16,Nov-16,Dezember 2016,Dezember 2016,Dezember 2016,Dezember 2016,Gesamt,Gesamt,Gesamt,Gesamt
 ,Metriken,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende
Zuerich,,3.8,31331,37642,6311,3.8,31502,37956,6454,3.8,30820,37352,6532,3.6,29876,36389,6513,3.6,29301,36014,6713,3.5,28776,35474,6698,3.5,28850,35579,6729,3.5,29100,35790,6690,3.6,29462,36233,6771,3.6,29768,36691,6923,3.7,30651,37720,7069,3.8,31570,38591,7021,3.7,361007,441431,80424
Bern,,2.9,16502,21053,4551,2.9,16264,20982,4718,2.8,15942,20902,4960,2.7,15370,20093,4723,2.6,14759,19492,4733,2.5,14087,18883,4796,2.5,14194,18968,4774,2.6,14487,18986,4499,2.6,14516,19218,4702,2.6,14888,19836,4948,2.8,15753,20961,5208,3,16636,21637,5001,2.7,183398,241011,57613
Luzern,,2.3,5164,7897,2733,2.3,5040,7903,2863,2.2,4922,7825,2903,2.1,4675,7554,2879,2,4510,7332,2822,1.9,4338,7148,2810,1.9,4321,7023,2702,2,4360,7125,2765,1.9,4285,7126,2841,1.9,4294,7246,2952,2,4429,7549,3120,2.2,4883,7871,2988,2.1,55221,89599,34378
Uri,,1.3,256,440,184,1.4,262,439,177,1.2,222,408,186,1,201,370,169,1,183,344,161,0.7,144,306,162,0.7,142,283,141,0.9,175,313,138,0.9,179,332,153,1,194,343,149,1.1,218,376,158,1.3,242,407,165,1,2418,4361,1943
Schwyz,,2,1711,2425,714,2,1723,2458,735,1.9,1640,2390,750,1.8,1544,2282,738,1.7,1458,2196,738,1.6,1386,2128,742,1.6,1400,2127,727,1.6,1437,2153,716,1.6,1433,2182,749,1.7,1474,2247,773,1.8,1557,2375,818,1.9,1683,2512,829,1.8,18446,27475,9029
Obwalden,,1,221,409,188,1.2,252,426,174,1.2,263,431,168,1.1,232,397,165,1,221,389,168,0.9,184,355,171,1,201,347,146,0.9,188,340,152,0.8,168,335,167,1,209,367,158,0.9,195,359,164,1,222,359,137,1,2556,4514,1958
Nidwalden,,1.3,306,525,219,1.1,271,536,265,1.2,291,538,247,1.1,256,506,250,1.1,269,511,242,1.1,262,506,244,1.2,295,498,203,1.2,292,493,201,1.1,265,508,243,1.1,262,499,237,1.1,265,519,254,1.3,303,510,207,1.1,3337,6149,2812
Glarus,,2.6,586,898,312,2.5,568,894,326,2.5,572,898,326,2.4,535,866,331,2.2,502,835,333,2.2,486,828,342,2.3,509,825,316,2.3,507,823,316,2.3,509,806,297,2.2,499,797,298,2.4,533,842,309,2.5,569,856,287,2.4,6375,10168,3793
Zug,,2.5,1690,2721,1031,2.5,1685,2749,1064,2.4,1628,2703,1075,2.3,1585,2633,1048,2.3,1576,2623,1047,2.3,1563,2607,1044,2.3,1529,2556,1027,2.3,1584,2574,990,2.3,1573,2574,1001,2.3,1572,2600,1028,2.3,1555,2690,1135,2.5,1693,2813,1120,2.4,19233,31843,12610
