,Name_QS,QS_Rank,QS_Rank_unique,Country,Region,fac_staff,fac_staffint,students,students_int,student_staff_ratio_QS,pc_intl_students_QS,Name_THE,THE_Rank,THE_Rank_unique,student_staff_ratio_THE,pc_intl_students_THE,fac_international_ratio
0,Massachusetts Institute of Technology (MIT),1,1,United States,North America,2982,1679,11067,3717,3.711267605633803,33.586337760910816,Massachusetts Institute of Technology,5,5,8.7,34,0.5630449362843729
1,Stanford University,2,2,United States,North America,4285,2042,15878,3611,3.7054842473745624,22.742158962085906,Stanford University,=3,4,7.5,22,0.4765460910151692
2,Harvard University,3,3,United States,North America,4350,1311,22429,5266,5.156091954022989,23.4785322573454,Harvard University,6,6,8.9,26,0.30137931034482757
3,California Institute of Technology (Caltech),4,4,United States,North America,953,350,2255,647,2.366211962224554,28.69179600886918,California Institute of Technology,=3,3,6.5,27,0.3672612801678909
4,University of Cambridge,5,5,United Kingdom,Europe,5490,2278,18770,6699,3.418943533697632,35.68993074054342,University of Cambridge,2,2,10.9,35,0.414936247723133
5,University of Oxford,6,6,United Kingdom,Europe,6750,2964,19720,7353,2.9214814814814813,37.28701825557809,University of Oxford,1,1,11.2,38,0.4391111111111111
6,UCL (University College London),7,7,United Kingdom,Europe,6345,2554,31080,14854,4.898345153664303,47.792792792792795,University College London,16,16,10.5,49,0.402521670606777
7,Imperial College London,8,8,United Kingdom,Europe,3930,2071,16090,8746,4.094147582697201,54.35674331883157,Imperial College London,8,8,11.4,55,0.526972010178117
8,University of Chicago,9,9,United States,North America,2449,635,13557,3379,5.535728868926093,24.924393302353028,University of Chicago,9,9,6.2,25,0.259289505920784
9,ETH Zurich - Swiss Federal Institute of Technology,10,10,Switzerland,Europe,2477,1886,19815,7563,7.999596285829632,38.168054504163514,ETH Zurich – Swiss Federal Institute of Technology Zurich,=10,10,14.6,38,0.7614049253128785
10,"Nanyang Technological University, Singapore (NTU)",11,11,Singapore,Asia,4338,2993,25738,7251,5.933148916551406,28.172352164115317,"Nanyang Technological University, Singapore",52,52,16.3,31,0.68994928538497
11,Ecole Polytechnique Fédérale de Lausanne (EPFL),12,12,Switzerland,Europe,1695,1300,10343,5896,6.102064896755162,57.00473750362564,École Polytechnique Fédérale de Lausanne,=38,38,11.2,55,0.7669616519174042
12,Princeton University,13,13,United States,North America,1007,246,8069,1793,8.012909632571995,22.220845210063207,Princeton University,7,7,8.3,24,0.2442899702085402
13,Cornell University,14,14,United States,North America,2718,970,21904,5411,8.058866813833701,24.703250547845144,Cornell University,19,19,9.8,24,0.35688005886681384
14,National University of Singapore (NUS),15,15,Singapore,Asia,5106,3086,32728,8917,6.409714061887975,27.245783427034954,National University of Singapore,=22,22,17.0,30,0.6043869956913435
15,Yale University,16,16,United States,North America,4940,1708,12402,2469,2.5105263157894737,19.908079342041606,Yale University,12,12,4.3,21,0.345748987854251
16,Johns Hopkins University,17,17,United States,North America,4462,1061,16146,4105,3.618556701030928,25.42425368512325,Johns Hopkins University,13,13,4.3,24,0.23778574630210667
17,Columbia University,18,18,United States,North America,6189,913,25045,8105,4.046695750525125,32.36174885206628,Columbia University,14,14,6.1,32,0.14751979318145095
18,University of Pennsylvania,19,19,United States,North America,5499,1383,20639,4250,3.7532278596108384,20.59208294975532,University of Pennsylvania,=10,11,6.5,20,0.25150027277686854
19,The Australian National University,20,20,Australia,Oceania,1600,927,14442,5551,9.02625,38.43650463924664,Australian National University,48,48,19.3,35,0.579375
20,University of Michigan,=21,21,United States,North America,6809,1920,43147,7527,6.336760170362755,17.445013558300694,University of Michigan,21,21,8.6,16,0.2819797327067117
21,Duke University,=21,22,United States,North America,2938,226,15320,2864,5.214431586113002,18.694516971279374,Duke University,17,17,4.5,22,0.07692307692307693
22,The University of Edinburgh,=23,23,United Kingdom,Europe,4075,1553,28040,10551,6.880981595092025,37.628388017118404,University of Edinburgh,=27,27,12.5,40,0.3811042944785276
23,King's College London,=23,24,United Kingdom,Europe,3650,1513,23780,9451,6.515068493150685,39.743481917577796,King’s College London,36,36,12.0,41,0.4145205479452055
24,Tsinghua University,25,25,China,Asia,5506,932,36300,4072,6.592807845986197,11.217630853994491,Tsinghua University,30,30,13.7,9,0.16926988739556847
25,The University of Hong Kong,26,26,Hong Kong,Asia,3012,2085,20214,8230,6.711155378486056,40.71435638666271,University of Hong Kong,40,40,18.0,42,0.6922310756972112
