Year,borough_code,borough_name,tax_code,tax_class,tax_wealth_p50,tax_wealth_p25,tax_wealth_p75
1999,11,Rathaus,0,base rate,19.0,0.0,149.0
1999,11,Rathaus,1,couple rate,191.0,30.0,792.0
1999,11,Rathaus,2,single parent family rate,22.5,0.0,395.0
1999,12,Hochschulen,0,base rate,28.0,0.0,186.0
1999,12,Hochschulen,1,couple rate,249.0,37.0,724.5
1999,12,Hochschulen,2,single parent family rate,82.0,0.0,210.0
1999,13,Lindenhof,0,base rate,57.0,2.0,327.5
1999,13,Lindenhof,1,couple rate,307.0,32.0,1480.0
1999,13,Lindenhof,2,single parent family rate,165.0,30.0,1021.0
1999,14,City,0,base rate,12.0,0.0,95.5
1999,14,City,1,couple rate,45.0,1.0,268.0
1999,14,City,2,single parent family rate,3.0,0.0,50.0
1999,21,Wollishofen,0,base rate,39.0,4.0,184.0
1999,21,Wollishofen,1,couple rate,138.5,35.0,427.5
1999,21,Wollishofen,2,single parent family rate,6.0,0.0,53.0
1999,23,Leimbach,0,base rate,31.0,2.0,138.0
1999,23,Leimbach,1,couple rate,120.0,25.0,370.0
1999,23,Leimbach,2,single parent family rate,10.0,0.0,55.0
1999,24,Enge,0,base rate,37.0,1.0,213.0
1999,24,Enge,1,couple rate,200.5,33.5,731.0
1999,24,Enge,2,single parent family rate,9.0,0.0,99.0
1999,31,Alt-Wiedikon,0,base rate,22.0,0.0,113.0
1999,31,Alt-Wiedikon,1,couple rate,63.0,0.0,266.0
1999,31,Alt-Wiedikon,2,single parent family rate,0.5,0.0,38.0
1999,33,Friesenberg,0,base rate,20.0,0.0,96.0
1999,33,Friesenberg,1,couple rate,77.0,12.0,207.0
1999,33,Friesenberg,2,single parent family rate,2.0,0.0,39.0
1999,34,Sihlfeld,0,base rate,14.0,0.0,85.0
1999,34,Sihlfeld,1,couple rate,39.0,0.0,186.0
1999,34,Sihlfeld,2,single parent family rate,0.0,0.0,22.0
1999,41,Werd,0,base rate,10.0,0.0,67.0
1999,41,Werd,1,couple rate,15.0,0.0,149.0
1999,41,Werd,2,single parent family rate,0.0,0.0,30.0
1999,42,Langstrasse,0,base rate,2.0,0.0,39.0
1999,42,Langstrasse,1,couple rate,5.0,0.0,95.0
1999,42,Langstrasse,2,single parent family rate,0.0,0.0,9.0
1999,44,Hard,0,base rate,8.0,0.0,59.0
1999,44,Hard,1,couple rate,9.0,0.0,94.0
1999,44,Hard,2,single parent family rate,0.0,0.0,12.0
1999,51,Gewerbeschule,0,base rate,6.0,0.0,50.0
1999,51,Gewerbeschule,1,couple rate,13.0,0.0,103.0
1999,51,Gewerbeschule,2,single parent family rate,0.0,0.0,24.0
1999,52,Escher Wyss,0,base rate,9.0,0.0,67.0
1999,52,Escher Wyss,1,couple rate,40.5,0.0,211.0
1999,52,Escher Wyss,2,single parent family rate,9.5,0.0,88.0
1999,61,Unterstrass,0,base rate,35.0,2.0,151.0
1999,61,Unterstrass,1,couple rate,116.0,20.0,342.0
1999,61,Unterstrass,2,single parent family rate,10.0,0.0,64.5
1999,63,Oberstrass,0,base rate,46.0,4.0,221.0
1999,63,Oberstrass,1,couple rate,246.0,48.0,876.0
1999,63,Oberstrass,2,single parent family rate,39.5,2.0,203.5
1999,71,Fluntern,0,base rate,69.0,7.0,428.0
1999,71,Fluntern,1,couple rate,473.0,102.0,1766.0
