Year,district_name,CH_nonCH,Total
1993,Affoltern,Foreign,3898
1993,Affoltern,Swiss,14197
1993,Albisrieden,Foreign,3401
1993,Albisrieden,Swiss,13731
1993,Alt-Wiedikon,Foreign,4656
1993,Alt-Wiedikon,Swiss,9981
1993,Altstetten,Foreign,8145
1993,Altstetten,Swiss,19726
1993,City,Foreign,305
1993,City,Swiss,579
1993,Enge,Foreign,1767
1993,Enge,Swiss,6358
1993,Escher Wyss,Foreign,714
1993,Escher Wyss,Swiss,833
1993,Fluntern,Foreign,1309
1993,Fluntern,Swiss,5879
1993,Friesenberg,Foreign,1834
1993,Friesenberg,Swiss,8333
1993,Gewerbeschule,Foreign,4931
1993,Gewerbeschule,Swiss,5017
1993,Hard,Foreign,5393
1993,Hard,Swiss,7354
1993,Hirslanden,Foreign,1208
1993,Hirslanden,Swiss,5627
1993,Hirzenbach,Foreign,2787
1993,Hirzenbach,Swiss,8047
1993,Hochschulen,Foreign,194
1993,Hochschulen,Swiss,614
1993,Hottingen,Foreign,2164
1993,Hottingen,Swiss,7975
1993,Höngg,Foreign,2714
1993,Höngg,Swiss,16404
1993,Langstrasse,Foreign,5672
1993,Langstrasse,Swiss,5833
1993,Leimbach,Foreign,704
1993,Leimbach,Swiss,3851
1993,Lindenhof,Foreign,185
1993,Lindenhof,Swiss,951
1993,Mühlebach,Foreign,1248
1993,Mühlebach,Swiss,4446
1993,Oberstrass,Foreign,2327
1993,Oberstrass,Swiss,7827
1993,Oerlikon,Foreign,4821
1993,Oerlikon,Swiss,11889
1993,Rathaus,Foreign,646
1993,Rathaus,Swiss,2487
1993,Saatlen,Foreign,1438
1993,Saatlen,Swiss,5034
1993,Schwamendingen-Mitte,Foreign,3217
1993,Schwamendingen-Mitte,Swiss,6958
1993,Seebach,Foreign,4887
1993,Seebach,Swiss,12727
1993,Seefeld,Foreign,1396
1993,Seefeld,Swiss,3887
1993,Sihlfeld,Foreign,7832
1993,Sihlfeld,Swiss,13704
1993,Unterstrass,Foreign,4376
1993,Unterstrass,Swiss,16049
1993,Weinegg,Foreign,1326
1993,Weinegg,Swiss,3530
1993,Werd,Foreign,1658
1993,Werd,Swiss,2390
1993,Wipkingen,Foreign,5364
1993,Wipkingen,Swiss,10610
1993,Witikon,Foreign,1269
1993,Witikon,Swiss,8357
1993,Wollishofen,Foreign,3071
1993,Wollishofen,Swiss,12856
1994,Affoltern,Foreign,4040
1994,Affoltern,Swiss,14021
1994,Albisrieden,Foreign,3473
1994,Albisrieden,Swiss,13585
1994,Alt-Wiedikon,Foreign,4864
1994,Alt-Wiedikon,Swiss,9939
1994,Altstetten,Foreign,8578
1994,Altstetten,Swiss,19139
1994,City,Foreign,296
1994,City,Swiss,549
1994,Enge,Foreign,1803
1994,Enge,Swiss,6319
1994,Escher Wyss,Foreign,742
1994,Escher Wyss,Swiss,854
1994,Fluntern,Foreign,1250
1994,Fluntern,Swiss,5835
1994,Friesenberg,Foreign,1913
1994,Friesenberg,Swiss,8300
1994,Gewerbeschule,Foreign,4842
1994,Gewerbeschule,Swiss,4931
1994,Hard,Foreign,5680
1994,Hard,Swiss,7136
1994,Hirslanden,Foreign,1184
1994,Hirslanden,Swiss,5566
1994,Hirzenbach,Foreign,2902
1994,Hirzenbach,Swiss,7993
1994,Hochschulen,Foreign,180
1994,Hochschulen,Swiss,626
1994,Hottingen,Foreign,2212
1994,Hottingen,Swiss,8017
1994,Höngg,Foreign,2814
1994,Höngg,Swiss,16370
1994,Langstrasse,Foreign,5400
1994,Langstrasse,Swiss,5783
1994,Leimbach,Foreign,743
1994,Leimbach,Swiss,3855
1994,Lindenhof,Foreign,179
1994,Lindenhof,Swiss,908
1994,Mühlebach,Foreign,1231
1994,Mühlebach,Swiss,4380
1994,Oberstrass,Foreign,2375
1994,Oberstrass,Swiss,7891
1994,Oerlikon,Foreign,5043
1994,Oerlikon,Swiss,11728
1994,Rathaus,Foreign,623
1994,Rathaus,Swiss,2466
1994,Saatlen,Foreign,1509
1994,Saatlen,Swiss,4921
1994,Schwamendingen-Mitte,Foreign,3355
1994,Schwamendingen-Mitte,Swiss,6885
1994,Seebach,Foreign,5098
1994,Seebach,Swiss,12544
1994,Seefeld,Foreign,1390
1994,Seefeld,Swiss,3914
1994,Sihlfeld,Foreign,8054
1994,Sihlfeld,Swiss,13515
1994,Unterstrass,Foreign,4502
1994,Unterstrass,Swiss,15975
1994,Weinegg,Foreign,1307
1994,Weinegg,Swiss,3576
1994,Werd,Foreign,1696
1994,Werd,Swiss,2429
1994,Wipkingen,Foreign,5485
1994,Wipkingen,Swiss,10572
1994,Witikon,Foreign,1338
1994,Witikon,Swiss,8323
1994,Wollishofen,Foreign,3197
1994,Wollishofen,Swiss,12705
1995,Affoltern,Foreign,4278
1995,Affoltern,Swiss,13876
1995,Albisrieden,Foreign,3454
1995,Albisrieden,Swiss,13389
1995,Alt-Wiedikon,Foreign,4948
1995,Alt-Wiedikon,Swiss,9771
1995,Altstetten,Foreign,9060
1995,Altstetten,Swiss,18728
1995,City,Foreign,320
1995,City,Swiss,687
1995,Enge,Foreign,1892
1995,Enge,Swiss,6282
1995,Escher Wyss,Foreign,725
1995,Escher Wyss,Swiss,924
1995,Fluntern,Foreign,1329
1995,Fluntern,Swiss,5822
1995,Friesenberg,Foreign,1964
1995,Friesenberg,Swiss,8191
1995,Gewerbeschule,Foreign,4854
1995,Gewerbeschule,Swiss,4957
