Year,district_name,Total
1993,Affoltern,18095
1993,Albisrieden,17132
1993,Alt-Wiedikon,14637
1993,Altstetten,27871
1993,City,884
1993,Enge,8125
1993,Escher Wyss,1547
1993,Fluntern,7188
1993,Friesenberg,10167
1993,Gewerbeschule,9948
1993,Hard,12747
1993,Hirslanden,6835
1993,Hirzenbach,10834
1993,Hochschulen,808
1993,Hottingen,10139
1993,Höngg,19118
1993,Langstrasse,11505
1993,Leimbach,4555
1993,Lindenhof,1136
1993,Mühlebach,5694
1993,Oberstrass,10154
1993,Oerlikon,16710
1993,Rathaus,3133
1993,Saatlen,6472
1993,Schwamendingen-Mitte,10175
1993,Seebach,17614
1993,Seefeld,5283
1993,Sihlfeld,21536
1993,Unterstrass,20425
1993,Weinegg,4856
1993,Werd,4048
1993,Wipkingen,15974
1993,Witikon,9626
1993,Wollishofen,15927
1994,Affoltern,18061
1994,Albisrieden,17058
1994,Alt-Wiedikon,14803
1994,Altstetten,27717
1994,City,845
1994,Enge,8122
1994,Escher Wyss,1596
1994,Fluntern,7085
1994,Friesenberg,10213
1994,Gewerbeschule,9773
1994,Hard,12816
1994,Hirslanden,6750
1994,Hirzenbach,10895
1994,Hochschulen,806
1994,Hottingen,10229
1994,Höngg,19184
1994,Langstrasse,11183
1994,Leimbach,4598
1994,Lindenhof,1087
1994,Mühlebach,5611
1994,Oberstrass,10266
1994,Oerlikon,16771
1994,Rathaus,3089
1994,Saatlen,6430
1994,Schwamendingen-Mitte,10240
1994,Seebach,17642
1994,Seefeld,5304
1994,Sihlfeld,21569
1994,Unterstrass,20477
1994,Weinegg,4883
1994,Werd,4125
1994,Wipkingen,16057
1994,Witikon,9661
1994,Wollishofen,15902
1995,Affoltern,18154
1995,Albisrieden,16843
1995,Alt-Wiedikon,14719
1995,Altstetten,27788
1995,City,1007
1995,Enge,8174
1995,Escher Wyss,1649
1995,Fluntern,7151
1995,Friesenberg,10155
1995,Gewerbeschule,9811
1995,Hard,12872
1995,Hirslanden,6654
1995,Hirzenbach,10995
1995,Hochschulen,782
1995,Hottingen,10234
1995,Höngg,19243
1995,Langstrasse,10952
1995,Leimbach,4647
1995,Lindenhof,1096
1995,Mühlebach,5611
1995,Oberstrass,10121
1995,Oerlikon,17033
1995,Rathaus,3049
1995,Saatlen,6442
1995,Schwamendingen-Mitte,10248
1995,Seebach,17700
1995,Seefeld,5281
1995,Sihlfeld,21453
1995,Unterstrass,20356
1995,Weinegg,4871
1995,Werd,4005
1995,Wipkingen,16080
1995,Witikon,9732
1995,Wollishofen,15918
1996,Affoltern,18122
1996,Albisrieden,16705
1996,Alt-Wiedikon,14869
1996,Altstetten,27660
1996,City,981
1996,Enge,8155
1996,Escher Wyss,1641
1996,Fluntern,7178
1996,Friesenberg,9993
1996,Gewerbeschule,9700
1996,Hard,12937
1996,Hirslanden,6703
1996,Hirzenbach,10990
1996,Hochschulen,753
1996,Hottingen,10348
1996,Höngg,19604
1996,Langstrasse,10718
1996,Leimbach,4553
1996,Lindenhof,1044
1996,Mühlebach,5566
1996,Oberstrass,10110
1996,Oerlikon,16813
1996,Rathaus,3078
1996,Saatlen,6384
1996,Schwamendingen-Mitte,10141
1996,Seebach,17624
1996,Seefeld,5226
1996,Sihlfeld,21233
1996,Unterstrass,20318
1996,Weinegg,4900
1996,Werd,3979
1996,Wipkingen,16131
1996,Witikon,9647
1996,Wollishofen,15844
1997,Affoltern,18177
1997,Albisrieden,16630
1997,Alt-Wiedikon,15000
1997,Altstetten,27663
1997,City,996
1997,Enge,8164
1997,Escher Wyss,1622
1997,Fluntern,7191
1997,Friesenberg,9991
1997,Gewerbeschule,9525
1997,Hard,12884
1997,Hirslanden,6659
1997,Hirzenbach,11013
1997,Hochschulen,762
1997,Hottingen,10326
1997,Höngg,19793
1997,Langstrasse,10480
1997,Leimbach,4484
1997,Lindenhof,1025
1997,Mühlebach,5474
1997,Oberstrass,9994
1997,Oerlikon,16765
1997,Rathaus,3083
1997,Saatlen,6428
1997,Schwamendingen-Mitte,10237
1997,Seebach,17719
1997,Seefeld,5155
1997,Sihlfeld,21132
1997,Unterstrass,20281
1997,Weinegg,4799
1997,Werd,3928
1997,Wipkingen,15817
1997,Witikon,9577
1997,Wollishofen,15820
1998,Affoltern,18469
1998,Albisrieden,16548
1998,Alt-Wiedikon,14975
1998,Altstetten,27656
1998,City,1030
1998,Enge,8150
1998,Escher Wyss,1579
1998,Fluntern,7272
1998,Friesenberg,10029
1998,Gewerbeschule,9464
1998,Hard,12871
1998,Hirslanden,6702
1998,Hirzenbach,11015
1998,Hochschulen,792
1998,Hottingen,10240
1998,Höngg,20054
1998,Langstrasse,10399
1998,Leimbach,4619
1998,Lindenhof,995
1998,Mühlebach,5461
1998,Oberstrass,9907
1998,Oerlikon,17026
1998,Rathaus,3050
1998,Saatlen,6568
1998,Schwamendingen-Mitte,10174
1998,Seebach,17906
1998,Seefeld,5087
1998,Sihlfeld,21018
1998,Unterstrass,20266
1998,Weinegg,4816
1998,Werd,3913
1998,Wipkingen,15643
1998,Witikon,9553
1998,Wollishofen,15826
1999,Affoltern,18468
1999,Albisrieden,16341
1999,Alt-Wiedikon,14889
1999,Altstetten,27928
1999,City,967
1999,Enge,8134
1999,Escher Wyss,1953
1999,Fluntern,7298
1999,Friesenberg,10013
1999,Gewerbeschule,9594
1999,Hard,12951
1999,Hirslanden,6837
1999,Hirzenbach,11119
1999,Hochschulen,769
1999,Hottingen,10307
1999,Höngg,20559
1999,Langstrasse,10370
1999,Leimbach,4650
1999,Lindenhof,1032
1999,Mühlebach,5527
1999,Oberstrass,9897
1999,Oerlikon,17368
1999,Rathaus,3104
1999,Saatlen,6554
1999,Schwamendingen-Mitte,10390
1999,Seebach,17889
1999,Seefeld,4969
1999,Sihlfeld,20997
1999,Unterstrass,20083
1999,Weinegg,4800
1999,Werd,3966
1999,Wipkingen,15531
1999,Witikon,9554
1999,Wollishofen,15896
2000,Affoltern,18387
2000,Albisrieden,16445
2000,Alt-Wiedikon,14789
2000,Altstetten,28174
2000,City,929
2000,Enge,8189
2000,Escher Wyss,1929
2000,Fluntern,7267
2000,Friesenberg,9972
2000,Gewerbeschule,9824
2000,Hard,12875
2000,Hirslanden,6759
2000,Hirzenbach,11281
2000,Hochschulen,759
2000,Hottingen,10147
2000,Höngg,20423
2000,Langstrasse,10237
2000,Leimbach,4644
2000,Lindenhof,989
2000,Mühlebach,5545
2000,Oberstrass,9864
2000,Oerlikon,17876
2000,Rathaus,3109
2000,Saatlen,6338
2000,Schwamendingen-Mitte,10479
2000,Seebach,17870
2000,Seefeld,4989
2000,Sihlfeld,20887
2000,Unterstrass,19933
2000,Weinegg,4804
2000,Werd,3917
2000,Wipkingen,15704
2000,Witikon,9544
2000,Wollishofen,16102
2001,Affoltern,18693
2001,Albisrieden,16614
2001,Alt-Wiedikon,14692
2001,Altstetten,28783
2001,City,907
2001,Enge,8102
2001,Escher Wyss,2133
2001,Fluntern,7221
2001,Friesenberg,10042
2001,Gewerbeschule,9835
2001,Hard,12841
2001,Hirslanden,6800
2001,Hirzenbach,11302
2001,Hochschulen,738
2001,Hottingen,10096
2001,Höngg,20588
2001,Langstrasse,10276
2001,Leimbach,4668
2001,Lindenhof,948
2001,Mühlebach,5486
2001,Oberstrass,9764
2001,Oerlikon,18223
2001,Rathaus,3103
2001,Saatlen,6386
2001,Schwamendingen-Mitte,10430
2001,Seebach,18103
2001,Seefeld,5025
2001,Sihlfeld,20704
2001,Unterstrass,19831
2001,Weinegg,4816
2001,Werd,3838
2001,Wipkingen,15567
2001,Witikon,9559
2001,Wollishofen,15928
2002,Affoltern,18705
2002,Albisrieden,16669
2002,Alt-Wiedikon,14811
2002,Altstetten,28776
2002,City,910
2002,Enge,8279
2002,Escher Wyss,2516
2002,Fluntern,7069
2002,Friesenberg,10188
2002,Gewerbeschule,9900
2002,Hard,12856
2002,Hirslanden,6781
2002,Hirzenbach,11434
2002,Hochschulen,727
2002,Hottingen,10021
2002,Höngg,20570
2002,Langstrasse,10447
2002,Leimbach,4681
2002,Lindenhof,950
2002,Mühlebach,5450
2002,Oberstrass,9725
2002,Oerlikon,18778
2002,Rathaus,3128
2002,Saatlen,6663
2002,Schwamendingen-Mitte,10373
2002,Seebach,18972
2002,Seefeld,5122
2002,Sihlfeld,20731
2002,Unterstrass,19863
2002,Weinegg,4776
2002,Werd,3850
2002,Wipkingen,15495
2002,Witikon,9571
2002,Wollishofen,15771
2003,Affoltern,18787
2003,Albisrieden,17018
2003,Alt-Wiedikon,14459
2003,Altstetten,28323
2003,City,886
2003,Enge,8228
2003,Escher Wyss,2465
2003,Fluntern,7102
2003,Friesenberg,10387
2003,Gewerbeschule,9781
2003,Hard,12817
2003,Hirslanden,6795
2003,Hirzenbach,11432
2003,Hochschulen,723
2003,Hottingen,10017
2003,Höngg,20810
2003,Langstrasse,10304
2003,Leimbach,4830
2003,Lindenhof,942
2003,Mühlebach,5434
2003,Oberstrass,9689
2003,Oerlikon,19217
2003,Rathaus,3149
2003,Saatlen,6583
2003,Schwamendingen-Mitte,10389
2003,Seebach,19438
2003,Seefeld,4996
2003,Sihlfeld,20663
2003,Unterstrass,19882
2003,Weinegg,4747
2003,Werd,3788
2003,Wipkingen,15476
2003,Witikon,9503
2003,Wollishofen,15468
2004,Affoltern,18886
2004,Albisrieden,17087
2004,Alt-Wiedikon,14551
2004,Altstetten,28368
2004,City,843
2004,Enge,8209
2004,Escher Wyss,2624
2004,Fluntern,7285
2004,Friesenberg,10326
2004,Gewerbeschule,9773
2004,Hard,12804
2004,Hirslanden,6806
2004,Hirzenbach,11336
2004,Hochschulen,725
2004,Hottingen,9926
2004,Höngg,20856
2004,Langstrasse,10319
2004,Leimbach,4778
2004,Lindenhof,947
2004,Mühlebach,5546
2004,Oberstrass,9546
2004,Oerlikon,19375
2004,Rathaus,3115
2004,Saatlen,6697
2004,Schwamendingen-Mitte,10274
2004,Seebach,19501
2004,Seefeld,4993
2004,Sihlfeld,20567
2004,Unterstrass,19742
2004,Weinegg,4771
2004,Werd,3763
2004,Wipkingen,15428
2004,Witikon,9711
2004,Wollishofen,15499
2005,Affoltern,18733
2005,Albisrieden,17226
2005,Alt-Wiedikon,14971
2005,Altstetten,28278
2005,City,846
2005,Enge,8375
2005,Escher Wyss,2727
2005,Fluntern,7325
2005,Friesenberg,10360
2005,Gewerbeschule,9690
2005,Hard,12715
2005,Hirslanden,6859
2005,Hirzenbach,11265
2005,Hochschulen,695
2005,Hottingen,10100
2005,Höngg,20773
2005,Langstrasse,10368
2005,Leimbach,4867
2005,Lindenhof,950
2005,Mühlebach,5577
2005,Oberstrass,9494
2005,Oerlikon,19663
2005,Rathaus,3081
2005,Saatlen,6649
2005,Schwamendingen-Mitte,10322
2005,Seebach,19879
2005,Seefeld,4923
2005,Sihlfeld,20554
2005,Unterstrass,19921
2005,Weinegg,4843
2005,Werd,3878
2005,Wipkingen,15446
2005,Witikon,9864
2005,Wollishofen,15592
2006,Affoltern,18793
2006,Albisrieden,17275
2006,Alt-Wiedikon,15231
2006,Altstetten,28868
2006,City,845
2006,Enge,8367
2006,Escher Wyss,2987
2006,Fluntern,7379
2006,Friesenberg,10342
2006,Gewerbeschule,9735
2006,Hard,12508
2006,Hirslanden,6904
2006,Hirzenbach,11205
2006,Hochschulen,711
2006,Hottingen,10180
2006,Höngg,21017
2006,Langstrasse,10332
2006,Leimbach,4944
2006,Lindenhof,955
2006,Mühlebach,5549
2006,Oberstrass,9698
2006,Oerlikon,20318
2006,Rathaus,3097
2006,Saatlen,6695
2006,Schwamendingen-Mitte,10637
2006,Seebach,20757
2006,Seefeld,4842
2006,Sihlfeld,20314
2006,Unterstrass,19959
2006,Weinegg,4816
2006,Werd,3865
2006,Wipkingen,15392
2006,Witikon,9958
2006,Wollishofen,15587
2007,Affoltern,20948
2007,Albisrieden,17527
2007,Alt-Wiedikon,15440
2007,Altstetten,29348
2007,City,876
2007,Enge,8473
2007,Escher Wyss,3008
2007,Fluntern,7455
2007,Friesenberg,10296
2007,Gewerbeschule,9706
2007,Hard,12802
2007,Hirslanden,6977
2007,Hirzenbach,11343
2007,Hochschulen,698
2007,Hottingen,10284
2007,Höngg,21075
2007,Langstrasse,10310
2007,Leimbach,5204
2007,Lindenhof,954
2007,Mühlebach,5567
2007,Oberstrass,9960
2007,Oerlikon,20754
2007,Rathaus,3079
2007,Saatlen,6842
2007,Schwamendingen-Mitte,10806
2007,Seebach,21390
2007,Seefeld,4920
2007,Sihlfeld,20372
2007,Unterstrass,20243
