Year,district_name,gender,Total
1993,Affoltern,F,9403
1993,Affoltern,M,8692
1993,Albisrieden,F,9298
1993,Albisrieden,M,7834
1993,Alt-Wiedikon,F,7512
1993,Alt-Wiedikon,M,7125
1993,Altstetten,F,14436
1993,Altstetten,M,13435
1993,City,F,383
1993,City,M,501
1993,Enge,F,4295
1993,Enge,M,3830
1993,Escher Wyss,F,686
1993,Escher Wyss,M,861
1993,Fluntern,F,3969
1993,Fluntern,M,3219
1993,Friesenberg,F,5443
1993,Friesenberg,M,4724
1993,Gewerbeschule,F,4323
1993,Gewerbeschule,M,5625
1993,Hard,F,6609
1993,Hard,M,6138
1993,Hirslanden,F,3994
1993,Hirslanden,M,2841
1993,Hirzenbach,F,5822
1993,Hirzenbach,M,5012
1993,Hochschulen,F,353
1993,Hochschulen,M,455
1993,Hottingen,F,5535
1993,Hottingen,M,4604
1993,Höngg,F,10231
1993,Höngg,M,8887
1993,Langstrasse,F,5066
1993,Langstrasse,M,6439
1993,Leimbach,F,2414
1993,Leimbach,M,2141
1993,Lindenhof,F,592
1993,Lindenhof,M,544
1993,Mühlebach,F,3083
1993,Mühlebach,M,2611
1993,Oberstrass,F,5455
1993,Oberstrass,M,4699
1993,Oerlikon,F,8651
1993,Oerlikon,M,8059
1993,Rathaus,F,1410
1993,Rathaus,M,1723
1993,Saatlen,F,3375
1993,Saatlen,M,3097
1993,Schwamendingen-Mitte,F,5378
1993,Schwamendingen-Mitte,M,4797
1993,Seebach,F,9086
1993,Seebach,M,8528
1993,Seefeld,F,2783
1993,Seefeld,M,2500
1993,Sihlfeld,F,11256
1993,Sihlfeld,M,10280
1993,Unterstrass,F,10903
1993,Unterstrass,M,9522
1993,Weinegg,F,2666
1993,Weinegg,M,2190
1993,Werd,F,1955
1993,Werd,M,2093
1993,Wipkingen,F,8422
1993,Wipkingen,M,7552
1993,Witikon,F,5363
1993,Witikon,M,4263
1993,Wollishofen,F,8746
1993,Wollishofen,M,7181
1994,Affoltern,F,9366
1994,Affoltern,M,8695
1994,Albisrieden,F,9275
1994,Albisrieden,M,7783
1994,Alt-Wiedikon,F,7611
1994,Alt-Wiedikon,M,7192
1994,Altstetten,F,14311
1994,Altstetten,M,13406
1994,City,F,360
1994,City,M,485
1994,Enge,F,4257
1994,Enge,M,3865
1994,Escher Wyss,F,720
1994,Escher Wyss,M,876
1994,Fluntern,F,3884
1994,Fluntern,M,3201
1994,Friesenberg,F,5464
1994,Friesenberg,M,4749
1994,Gewerbeschule,F,4211
1994,Gewerbeschule,M,5562
1994,Hard,F,6652
1994,Hard,M,6164
1994,Hirslanden,F,3911
1994,Hirslanden,M,2839
1994,Hirzenbach,F,5822
1994,Hirzenbach,M,5073
1994,Hochschulen,F,358
1994,Hochschulen,M,448
1994,Hottingen,F,5543
1994,Hottingen,M,4686
1994,Höngg,F,10262
1994,Höngg,M,8922
1994,Langstrasse,F,4940
1994,Langstrasse,M,6243
1994,Leimbach,F,2430
1994,Leimbach,M,2168
1994,Lindenhof,F,556
1994,Lindenhof,M,531
1994,Mühlebach,F,3052
1994,Mühlebach,M,2559
1994,Oberstrass,F,5520
1994,Oberstrass,M,4746
1994,Oerlikon,F,8570
1994,Oerlikon,M,8201
1994,Rathaus,F,1373
1994,Rathaus,M,1716
1994,Saatlen,F,3337
1994,Saatlen,M,3093
1994,Schwamendingen-Mitte,F,5446
1994,Schwamendingen-Mitte,M,4794
1994,Seebach,F,9115
1994,Seebach,M,8527
1994,Seefeld,F,2774
1994,Seefeld,M,2530
1994,Sihlfeld,F,11255
1994,Sihlfeld,M,10314
