,Name,QS_Rank,Country,Region,url,fac_staff,fac_staffint,students,students_int,stats_student_staff_ratio,stats_pc_intl_students,QS_Rank_unique
0,Massachusetts Institute of Technology (MIT),1,United States,North America,/universities/massachusetts-institute-technology-mit,2982,1679,11067,3717,3.711267605633803,33.586337760910816,1
1,Stanford University,2,United States,North America,/universities/stanford-university,4285,2042,15878,3611,3.7054842473745624,22.742158962085906,2
2,Harvard University,3,United States,North America,/universities/harvard-university,4350,1311,22429,5266,5.156091954022989,23.4785322573454,3
3,California Institute of Technology (Caltech),4,United States,North America,/universities/california-institute-technology-caltech,953,350,2255,647,2.366211962224554,28.69179600886918,4
4,University of Cambridge,5,United Kingdom,Europe,/universities/university-cambridge,5490,2278,18770,6699,3.418943533697632,35.68993074054342,5
5,University of Oxford,6,United Kingdom,Europe,/universities/university-oxford,6750,2964,19720,7353,2.9214814814814813,37.28701825557809,6
6,UCL (University College London),7,United Kingdom,Europe,/universities/ucl-university-college-london,6345,2554,31080,14854,4.898345153664303,47.792792792792795,7
7,Imperial College London,8,United Kingdom,Europe,/universities/imperial-college-london,3930,2071,16090,8746,4.094147582697201,54.35674331883157,8
8,University of Chicago,9,United States,North America,/universities/university-chicago,2449,635,13557,3379,5.535728868926093,24.924393302353028,9
9,ETH Zurich - Swiss Federal Institute of Technology,10,Switzerland,Europe,/universities/eth-zurich-swiss-federal-institute-technology,2477,1886,19815,7563,7.999596285829632,38.168054504163514,10
10,"Nanyang Technological University, Singapore (NTU)",11,Singapore,Asia,/universities/nanyang-technological-university-singapore-ntu,4338,2993,25738,7251,5.933148916551406,28.172352164115317,11
11,Ecole Polytechnique Fédérale de Lausanne (EPFL),12,Switzerland,Europe,/universities/ecole-polytechnique-f%C3%A9d%C3%A9rale-de-lausanne-epfl,1695,1300,10343,5896,6.102064896755162,57.00473750362564,12
12,Princeton University,13,United States,North America,/universities/princeton-university,1007,246,8069,1793,8.012909632571995,22.220845210063207,13
13,Cornell University,14,United States,North America,/universities/cornell-university,2718,970,21904,5411,8.058866813833701,24.703250547845144,14
14,National University of Singapore (NUS),15,Singapore,Asia,/universities/national-university-singapore-nus,5106,3086,32728,8917,6.409714061887975,27.245783427034954,15
15,Yale University,16,United States,North America,/universities/yale-university,4940,1708,12402,2469,2.5105263157894737,19.908079342041606,16
16,Johns Hopkins University,17,United States,North America,/universities/johns-hopkins-university,4462,1061,16146,4105,3.618556701030928,25.42425368512325,17
17,Columbia University,18,United States,North America,/universities/columbia-university,6189,913,25045,8105,4.046695750525125,32.36174885206628,18
18,University of Pennsylvania,19,United States,North America,/universities/university-pennsylvania,5499,1383,20639,4250,3.7532278596108384,20.59208294975532,19
19,The Australian National University,20,Australia,Oceania,/universities/australian-national-university,1600,927,14442,5551,9.02625,38.43650463924664,20
20,University of Michigan,=21,United States,North America,/universities/university-michigan,6809,1920,43147,7527,6.336760170362755,17.445013558300694,21
21,Duke University,=21,United States,North America,/universities/duke-university,2938,226,15320,2864,5.214431586113002,18.694516971279374,22
22,The University of Edinburgh,=23,United Kingdom,Europe,/universities/university-edinburgh,4075,1553,28040,10551,6.880981595092025,37.628388017118404,23
23,King's College London,=23,United Kingdom,Europe,/universities/kings-college-london,3650,1513,23780,9451,6.515068493150685,39.743481917577796,24
